new meter diffuser on input,,,,,,,,,,,
Oct 22 2021 14:35:00,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
7,97572.78125,97480.70313,97472.46094,97478.1875,207,92.08,100.32,94.59,8.24,2.52,-5.73
8,97572.58594,97480.49219,97472.375,97478.39844,206,92.09,100.21,94.19,8.12,2.09,-6.02
9,97572.66406,97480.42188,97472.25781,97478.21875,210,92.24,100.41,94.45,8.16,2.2,-5.96
10,97572.66406,97480.60156,97472.32813,97478.17188,203,92.06,100.34,94.49,8.27,2.43,-5.84
Oct 29 2021 16:00:14,flow rate=1.04,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97834.65625,97676.21875,97665.92969,97476.69531,10,158.44,168.73,357.96,10.29,199.52,189.23
2,97832.47656,97675.42188,97663.61719,97476.77344,186,157.05,168.86,355.7,11.8,198.65,186.84
3,97833.3125,97676.55469,97664.33594,97476.95313,210,156.76,168.98,356.36,12.22,199.6,187.38
4,97834.71875,97676.08594,97665.42969,97477.03125,203,158.63,169.29,357.69,10.66,199.05,188.4
5,97833.77344,97675.42188,97664.96094,97476.92188,206,158.35,168.81,356.85,10.46,198.5,188.04
6,97835.92188,97676.42969,97666.03125,97477.03906,207,159.49,169.89,358.88,10.4,199.39,188.99
7,97836.85938,97675.78906,97663.92969,97477.05469,206,161.07,172.93,359.8,11.86,198.73,186.87
8,97836.07031,97676.45313,97665.60938,97477.10938,211,159.62,170.46,358.96,10.84,199.34,188.5
9,97834.21875,97677.45313,97665.99219,97477.29688,202,156.77,168.23,356.92,11.46,200.16,188.7
10,97836.14844,97677.15625,97666.58594,97477.07813,207,158.99,169.56,359.07,10.57,200.08,189.51
mu,261.09375,195.632812,192.296875,-1.40625,201.25,,,,,,
sd,1.090275,0.475173,1.046253,0.155598,10.56,,,,,,
Q,1.057281,0.728312,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:00:47,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97573.16406,97481.13281,97473.0625,97479,13,92.03,100.1,94.16,8.07,2.13,-5.94
2,97573.3125,97481.09375,97473.05469,97479.19531,198,92.22,100.26,94.12,8.04,1.9,-6.14
3,97573.17969,97481.39063,97473.44531,97479.45313,207,91.79,99.73,93.73,7.95,1.94,-6.01
4,97573.25781,97481.46094,97473.50781,97479.52344,207,91.8,99.75,93.73,7.95,1.94,-6.02
5,97573.33594,97481.64844,97473.78906,97479.44531,207,91.69,99.55,93.89,7.86,2.2,-5.66
6,97573.51563,97481.67188,97473.57031,97479.53125,207,91.84,99.95,93.98,8.1,2.14,-5.96
7,97573.30469,97481.53906,97473.625,97479.625,207,91.77,99.68,93.68,7.91,1.91,-6
8,97573.5,97481.5625,97473.59375,97479.57813,207,91.94,99.91,93.92,7.97,1.98,-5.98
9,97573.36719,97481.60938,97473.60156,97479.48438,207,91.76,99.77,93.88,8.01,2.12,-5.88
10,97573.39063,97481.66406,97473.73438,97479.41406,206,91.73,99.66,93.98,7.93,2.25,-5.68
Oct 29 2021 16:00:47,flow rate=1.04,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97835.64844,97677.9375,97666.25,97479.69531,13,157.71,169.4,355.95,11.69,198.24,186.55
2,97836.28125,97679.44531,97666.27344,97479.82813,183,156.84,170.01,356.45,13.17,199.62,186.45
3,97837.11719,97678.74219,97666.8125,97479.91406,208,158.37,170.3,357.2,11.93,198.83,186.9
4,97835.25781,97678.76563,97667.41406,97480.22656,207,156.49,167.84,355.03,11.35,198.54,187.19
5,97836.95313,97679.54688,97668.375,97480.14063,212,157.41,168.58,356.81,11.17,199.41,188.23
6,97835.32813,97678.53125,97666.95313,97479.94531,203,156.8,168.37,355.38,11.58,198.59,187.01
7,97838,97678.35156,97668.67188,97480.10938,208,159.65,169.33,357.89,9.68,198.24,188.56
8,97838.07813,97679.69531,97668.03906,97480.20313,208,158.38,170.04,357.87,11.66,199.49,187.84
9,97833.72656,97677.71875,97668.63281,97480.15625,208,156.01,165.09,353.57,9.09,197.56,188.48
10,97836.66406,97677.73438,97666.98438,97480.21094,211,158.93,169.68,356.45,10.75,197.52,186.77
mu,262.851562,197.445312,193.421875,0.625,202.5,,,,,,
sd,0.812087,0.616709,0.549658,0.225753,13.18,,,,,,
Q,1.05684,0.723949,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:01:16,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97572.53906,97480.58594,97472.75781,97478.55469,9,91.95,99.78,93.98,7.83,2.03,-5.8
2,97572.65625,97480.67969,97472.71094,97478.65625,154,91.98,99.95,94,7.97,2.02,-5.95
3,97572.86719,97480.85938,97472.9375,97478.53906,208,92.01,99.93,94.33,7.92,2.32,-5.6
4,97572.69531,97480.78906,97472.82813,97478.57813,208,91.91,99.87,94.12,7.96,2.21,-5.75
5,97572.80469,97480.99219,97473,97478.70313,208,91.81,99.8,94.1,7.99,2.29,-5.7
6,97572.89844,97480.96094,97472.83594,97478.74219,207,91.94,100.06,94.16,8.13,2.22,-5.91
7,97573.00781,97480.89063,97472.85938,97478.82813,208,92.12,100.15,94.18,8.03,2.06,-5.97
8,97572.98438,97480.80469,97472.89063,97478.85938,212,92.18,100.09,94.12,7.91,1.95,-5.97
9,97572.70313,97480.75,97472.75781,97478.74219,204,91.95,99.95,93.96,7.99,2.01,-5.98
10,97572.78125,97480.71875,97472.70313,97478.45313,208,92.06,100.08,94.33,8.02,2.27,-5.75
Oct 29 2021 16:01:16,flow rate=1.04,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97834.13281,97676.07813,97665.98438,97478.53125,10,158.05,168.15,355.6,10.09,197.55,187.45
2,97835.39844,97676.32031,97665.66406,97478.63281,194,159.08,169.73,356.77,10.66,197.69,187.03
3,97836.04688,97678.92188,97666.52344,97478.78125,204,157.12,169.52,357.27,12.4,200.14,187.74
4,97835.29688,97677.17969,97666.5,97478.85938,207,158.12,168.8,356.44,10.68,198.32,187.64
5,97836.14844,97677.42969,97666.71094,97478.82031,209,158.72,169.44,357.33,10.72,198.61,187.89
6,97834.98438,97676.72656,97667.53906,97478.91406,207,158.26,167.45,356.07,9.19,197.81,188.62
7,97834.5,97676.45313,97666.17188,97478.6875,212,158.05,168.33,355.81,10.28,197.77,187.48
8,97833.46875,97678.24219,97664.67188,97479.125,204,155.23,168.8,354.34,13.57,199.12,185.55
9,97835.01563,97676.38281,97666.13281,97479.08594,208,158.63,168.88,355.93,10.25,197.3,187.05
10,97836.28125,97675.90625,97667.14844,97479.08594,208,160.37,169.13,357.2,8.76,196.82,188.06
mu,262.53125,196.398437,193.359375,0.125,203.5,,,,,,
sd,0.796543,1.287791,0.418048,0.147199,6.66,,,,,,
Q,1.062693,0.733969,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:02:35,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97576.94531,97485.21875,97477.28125,97483,13,91.73,99.66,93.95,7.94,2.22,-5.72
2,97577.28125,97485.15625,97477.28906,97482.91406,201,92.12,99.99,94.37,7.87,2.24,-5.62
3,97577.25,97485.25781,97477.27344,97482.96875,207,91.99,99.98,94.28,7.98,2.29,-5.7
4,97577.3125,97485.40625,97477.53906,97482.9375,207,91.91,99.77,94.37,7.87,2.47,-5.4
5,97577.3125,97485.32031,97477.39844,97483.14844,207,91.99,99.91,94.16,7.92,2.17,-5.75
6,97577.49219,97485.34375,97477.59375,97483.16406,207,92.15,99.9,94.33,7.75,2.18,-5.57
7,97577.47656,97485.375,97477.63281,97483.10156,207,92.1,99.84,94.37,7.74,2.27,-5.47
8,97577.67969,97485.66406,97477.83594,97483.42969,207,92.02,99.84,94.25,7.83,2.23,-5.59
9,97577.72656,97485.72656,97477.6875,97483.58594,207,92,100.04,94.14,8.04,2.14,-5.9
10,97577.79688,97485.70313,97477.78125,97483.57031,210,92.09,100.02,94.23,7.92,2.13,-5.79
Oct 29 2021 16:02:35,flow rate=1.09,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97857.73438,97695.79688,97685.17188,97483.35938,10,161.94,172.56,374.37,10.63,212.44,201.81
2,97858.14844,97695.58594,97684.125,97483.22656,119,162.56,174.02,374.92,11.46,212.36,200.9
3,97860.125,97694.71875,97684.42969,97483.17969,207,165.41,175.7,376.95,10.29,211.54,201.25
4,97857.625,97695.34375,97684.92188,97482.84375,218,162.28,172.7,374.78,10.42,212.5,202.08
5,97859.625,97695.23438,97685.33594,97483.10938,195,164.39,174.29,376.52,9.9,212.12,202.23
6,97859.41406,97695.85938,97685.1875,97483.15625,206,163.55,174.23,376.26,10.67,212.7,202.03
7,97858.61719,97696.96094,97685.02344,97483.3125,207,161.66,173.59,375.3,11.94,213.65,201.71
8,97857.57813,97695.66406,97685.30469,97483.25781,206,161.91,172.27,374.32,10.36,212.41,202.05
9,97858.07813,97697.82813,97686.60938,97483.14844,210,160.25,171.47,374.93,11.22,214.68,203.46
10,97857.33594,97694.94531,97683.92188,97483.28125,203,162.39,173.41,374.05,11.02,211.66,200.64
mu,281.210937,210.101562,207.3125,0.203125,184.75,,,,,,
sd,1.166524,0.466684,0.472576,0.2194,44.83,,,,,,
Q,1.101953,0.763764,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:04:56,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97576.22656,97484.19531,97476.47656,97482.45313,9,92.03,99.75,93.77,7.72,1.74,-5.98
2,97576.65625,97484.25,97476.52344,97482.52344,181,92.41,100.13,94.13,7.73,1.73,-6
3,97576.74219,97484.57031,97476.89063,97482.64844,208,92.17,99.85,94.09,7.68,1.92,-5.76
4,97576.70313,97484.51563,97476.9375,97482.67188,208,92.19,99.77,94.03,7.58,1.84,-5.73
5,97576.86719,97484.67188,97476.89844,97482.875,207,92.2,99.97,93.99,7.77,1.8,-5.98
6,97576.55469,97484.63281,97476.92969,97482.86719,208,91.92,99.62,93.69,7.7,1.77,-5.94
7,97576.77344,97484.74219,97476.91406,97482.77344,208,92.03,99.86,94,7.83,1.97,-5.86
8,97576.73438,97484.71875,97477.09375,97482.79688,208,92.02,99.64,93.94,7.62,1.92,-5.7
9,97576.64844,97484.66406,97477.07031,97482.75781,208,91.98,99.58,93.89,7.59,1.91,-5.69
10,97576.67969,97484.51563,97476.88281,97482.82813,208,92.16,99.8,93.85,7.63,1.69,-5.95
Oct 29 2021 16:04:56,flow rate=1.09,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97856.125,97694.24219,97683.60156,97482.75781,14,161.88,172.52,373.37,10.64,211.48,200.84
2,97859.8125,97694.83594,97683.94531,97482.625,120,164.98,175.87,377.19,10.89,212.21,201.32
3,97859.74219,97696.21094,97684.95313,97482.67969,207,163.53,174.79,377.06,11.26,213.53,202.27
4,97857.6875,97696,97685.10156,97482.60156,207,161.69,172.59,375.09,10.9,213.4,202.5
5,97859.07031,97696.41406,97685.27344,97482.72656,207,162.66,173.8,376.34,11.14,213.69,202.55
6,97858.32813,97696.25781,97685.48438,97482.57031,212,162.07,172.84,375.76,10.77,213.69,202.91
7,97857.76563,97695.58594,97684.89844,97482.53125,204,162.18,172.87,375.23,10.69,213.05,202.37
8,97857.90625,97698.41406,97686.89063,97482.54688,207,159.49,171.02,375.36,11.52,215.87,204.34
9,97859.25,97695.05469,97683.78906,97482.41406,208,164.2,175.46,376.84,11.27,212.64,201.37
10,97859.21875,97697.16406,97687.29688,97482.5,208,162.05,171.92,376.72,9.87,214.66,204.8
mu,281.765625,210.945312,207.695312,0.085937,185.25,,,,,,
sd,1.776361,0.940241,0.739909,0.069439,43.5,,,,,,
Q,1.09971,0.759561,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:05:39,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97577.95313,97485.63281,97478.23438,97483.71094,9,92.32,99.72,94.24,7.4,1.92,-5.48
2,97578.16406,97485.48438,97478.0625,97483.52344,207,92.68,100.1,94.64,7.42,1.96,-5.46
3,97578.03125,97485.55469,97478.10938,97483.64063,207,92.48,99.92,94.39,7.45,1.91,-5.53
4,97578.01563,97485.48438,97477.88281,97483.59375,207,92.53,100.13,94.42,7.6,1.89,-5.71
5,97577.95313,97485.33594,97477.90625,97483.42969,206,92.62,100.05,94.52,7.43,1.91,-5.52
6,97577.61719,97485.17969,97477.42188,97483.23438,207,92.44,100.2,94.38,7.76,1.95,-5.81
7,97577.79688,97484.79688,97477.42188,97482.96094,206,93,100.37,94.84,7.37,1.84,-5.54
8,97577.38281,97484.77344,97477.42188,97483.01563,207,92.61,99.96,94.37,7.35,1.76,-5.59
9,97577.30469,97484.82813,97477.16406,97482.95313,210,92.48,100.14,94.35,7.66,1.87,-5.79
10,97577.35156,97484.77344,97477.29688,97483.00781,204,92.58,100.05,94.34,7.48,1.77,-5.71
Oct 29 2021 16:05:39,flow rate=1.09,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97859.97656,97697.04688,97685.46875,97483.28125,9,162.93,174.51,376.7,11.58,213.77,202.19
2,97860.42969,97694.86719,97685.55469,97483.42188,178,165.56,174.87,377.01,9.31,211.45,202.13
3,97857.73438,97697.14063,97684.34375,97483.28125,210,160.59,173.39,374.45,12.8,213.86,201.06
4,97861.70313,97696.17188,97685.28906,97483.375,203,165.53,176.41,378.33,10.88,212.8,201.91
5,97860.23438,97696.26563,97685.4375,97483.42188,207,163.97,174.8,376.81,10.83,212.84,202.02
6,97861.625,97695.10938,97686.5,97483.40625,206,166.52,175.12,378.22,8.61,211.7,203.09
7,97860.38281,97696.67188,97686.60156,97483.44531,207,163.71,173.78,376.94,10.07,213.23,203.16
8,97861.57031,97696.8125,97686.875,97483.44531,211,164.76,174.7,378.12,9.94,213.37,203.43
9,97860.59375,97696.47656,97686.65625,97483.52344,203,164.12,173.94,377.07,9.82,212.95,203.13
10,97861.39844,97698.6875,97687.96094,97483.63281,206,162.71,173.44,377.77,10.73,215.05,204.33
mu,281.90625,210.765625,207.09375,-0.273438,199.5,,,,,,
sd,1.654591,1.054167,0.557961,0.070457,14.62,,,,,,
Q,1.102195,0.75899,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:07:04,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97576.9375,97485.27344,97477.5625,97482.91406,13,91.66,99.37,94.02,7.71,2.36,-5.35
2,97577.10938,97485.35938,97477.44531,97482.91406,202,91.75,99.66,94.2,7.91,2.45,-5.47
3,97577.16406,97485.26563,97477.55469,97483.14844,207,91.9,99.61,94.02,7.71,2.12,-5.59
4,97577.17969,97485.19531,97477.67188,97483.16406,207,91.98,99.51,94.02,7.52,2.03,-5.49
5,97577.07813,97485.25,97477.46094,97483.25,207,91.83,99.62,93.83,7.79,2,-5.79
6,97576.96094,97485.19531,97477.52344,97483.32031,207,91.77,99.44,93.64,7.67,1.87,-5.8
7,97577.20313,97485.35156,97477.73438,97483.39063,206,91.85,99.47,93.81,7.62,1.96,-5.66
8,97577.22656,97485.6875,97477.76563,97483.52344,207,91.54,99.46,93.7,7.92,2.16,-5.76
9,97577.22656,97485.61719,97477.96875,97483.80469,207,91.61,99.26,93.42,7.65,1.81,-5.84
10,97577.44531,97485.85156,97478.10156,97483.57813,207,91.59,99.34,93.87,7.75,2.27,-5.48
Oct 29 2021 16:07:04,flow rate=1.13,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97887.51563,97717.66406,97705.36719,97483.25781,13,169.85,182.15,404.26,12.3,234.41,222.11
2,97887.40625,97718.76563,97705.26563,97483.21875,197,168.64,182.14,404.19,13.5,235.55,222.05
3,97886.92969,97718.30469,97706.10938,97483.35156,208,168.62,180.82,403.58,12.2,234.95,222.76
4,97885.25781,97716.25,97705.71094,97483.5,207,169.01,179.55,401.76,10.54,232.75,222.21
5,97884.38281,97716.46875,97705.28906,97483.59375,209,167.91,179.09,400.79,11.18,232.87,221.7
6,97885.6875,97715.71875,97707.50781,97483.625,207,169.97,178.18,402.06,8.21,232.09,223.88
7,97888.29688,97716.24219,97707.32031,97483.875,208,172.05,180.98,404.42,8.92,232.37,223.45
8,97886.42188,97716.48438,97706.82031,97483.80469,208,169.94,179.6,402.62,9.66,232.68,223.02
9,97886.76563,97717.21875,97705.60156,97483.71094,207,169.55,181.16,403.05,11.62,233.51,221.89
10,97888.80469,97718.64063,97706.75,97483.625,212,170.16,182.05,405.18,11.89,235.02,223.12
mu,309.671875,232.484375,228.054687,0.296875,205.25,,,,,,
sd,1.044482,1.094921,0.381721,0.125163,5.56,,,,,,
Q,1.148082,0.788178,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:07:58,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97577.17969,97485.32031,97477.60938,97483.03906,9,91.86,99.57,94.14,7.71,2.28,-5.43
2,97577.36719,97485.24219,97477.55469,97483.0625,187,92.12,99.81,94.3,7.69,2.18,-5.51
3,97577.32031,97485.23438,97477.35156,97483.01563,208,92.09,99.97,94.3,7.88,2.22,-5.66
4,97577.25781,97485.26563,97477.51563,97482.875,208,91.99,99.74,94.38,7.75,2.39,-5.36
5,97577.36719,97485.20313,97477.45313,97482.99219,208,92.16,99.91,94.37,7.75,2.21,-5.54
6,97577.53906,97485.28125,97477.45313,97483,208,92.26,100.09,94.54,7.83,2.28,-5.55
7,97577.59375,97485.21094,97477.57813,97483.11719,208,92.38,100.02,94.48,7.63,2.09,-5.54
8,97577.54688,97485.24219,97477.53906,97483.19531,208,92.3,100.01,94.35,7.7,2.05,-5.66
9,97577.53906,97485.25,97477.69531,97483.20313,208,92.29,99.84,94.34,7.55,2.05,-5.51
10,97577.46875,97485.42969,97477.49219,97483.26563,208,92.04,99.98,94.2,7.94,2.16,-5.77
Oct 29 2021 16:07:58,flow rate=1.13,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97886.03125,97716.64844,97705.48438,97483.39844,9,169.38,180.55,402.63,11.16,233.25,222.09
2,97886.67969,97716.74219,97704.1875,97483.47656,211,169.94,182.49,403.2,12.55,233.27,220.71
3,97887.78906,97716.44531,97703.19531,97483.375,203,171.34,184.59,404.41,13.25,233.07,219.82
4,97886.33594,97716.39844,97707.60938,97483.44531,206,169.94,178.73,402.89,8.79,232.95,224.16
5,97888.03125,97717.98438,97705.97656,97483.39844,208,170.05,182.05,404.63,12.01,234.59,222.58
6,97887.03125,97716.51563,97707.19531,97483.6875,208,170.52,179.84,403.34,9.32,232.83,223.51
7,97887.17188,97716.65625,97705.3125,97483.65625,212,170.52,181.86,403.52,11.34,233,221.66
8,97887.86719,97717.39063,97705.75781,97483.48438,204,170.48,182.11,404.38,11.63,233.91,222.27
9,97884.59375,97715.74219,97706.38281,97483.65625,208,168.85,178.21,400.94,9.36,232.09,222.73
10,97885.23438,97716.52344,97705.375,97483.41406,207,168.71,179.86,401.82,11.15,233.11,221.96
mu,309.429687,231.296875,227.625,0.421875,207,,,,,,
sd,0.767231,0.163628,1.906469,0.045777,3.37,,,,,,
Q,1.155091,0.797349,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:08:41,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97578.9375,97487.39063,97479.51563,97485.125,13,91.55,99.42,93.81,7.87,2.27,-5.61
2,97579.0625,97487.23438,97479.57031,97485.33594,202,91.83,99.49,93.73,7.66,1.9,-5.77
3,97579.14063,97487.38281,97479.67188,97485.26563,208,91.76,99.47,93.87,7.71,2.12,-5.59
4,97579.39063,97487.46094,97479.64844,97485.36719,208,91.93,99.74,94.02,7.81,2.09,-5.72
5,97579.3125,97487.52344,97479.71094,97485.26563,208,91.79,99.6,94.05,7.81,2.26,-5.55
6,97579.375,97487.40625,97479.75781,97485.19531,207,91.97,99.62,94.18,7.65,2.21,-5.44
7,97579.42188,97487.28906,97479.70313,97485.29688,208,92.13,99.72,94.12,7.59,1.99,-5.59
8,97579.34375,97487.35156,97479.63281,97485.38281,208,91.99,99.71,93.96,7.72,1.97,-5.75
9,97579.23438,97487.50781,97479.6875,97485.375,208,91.73,99.55,93.86,7.82,2.13,-5.69
10,97579.36719,97487.55469,97479.78125,97485.28125,211,91.81,99.59,94.09,7.77,2.27,-5.5
Oct 29 2021 16:08:41,flow rate=1.13,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97888.28906,97718.13281,97708.24219,97486.5625,9,170.16,180.05,401.73,9.89,231.57,221.68
2,97887.90625,97719.6875,97708.78125,97486.73438,157,168.22,179.12,401.17,10.91,232.95,222.05
3,97887.28906,97716.34375,97707.35938,97486.74219,208,170.95,179.93,400.55,8.98,229.6,220.62
4,97887.625,97719.125,97708.00781,97486.66406,208,168.5,179.62,400.96,11.12,232.46,221.34
5,97891.42969,97720.08594,97707.14063,97486.83594,208,171.34,184.29,404.59,12.95,233.25,220.3
6,97887.63281,97717.46875,97707.94531,97486.71875,208,170.16,179.69,400.91,9.52,230.75,221.23
7,97889.74219,97719.96094,97708.875,97486.8125,208,169.78,180.87,402.93,11.09,233.15,222.06
8,97888.27344,97718.99219,97708.03906,97486.625,208,169.28,180.23,401.65,10.95,232.37,221.41
9,97886.64063,97717.84375,97709.09375,97486.79688,212,168.8,177.55,399.84,8.75,231.05,222.3
10,97887.875,97718.14844,97709.01563,97486.8125,204,169.73,178.86,401.06,9.13,231.34,222.2
mu,308.648437,230.953125,228.492187,1.390625,195.25,,,,,,
sd,0.424327,1.467274,0.589175,0.083415,25.5,,,,,,
Q,1.151852,0.80148,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:09:35,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97579.33594,97487.58594,97479.9375,97485.66406,13,91.75,99.4,93.67,7.65,1.92,-5.73
2,97579.16406,97487.45313,97479.96875,97485.32031,186,91.71,99.2,93.84,7.48,2.13,-5.35
3,97579.05469,97487.39844,97479.82813,97485.29688,208,91.66,99.23,93.76,7.57,2.1,-5.47
4,97579.0625,97487.45313,97479.82813,97485.35156,208,91.61,99.23,93.71,7.62,2.1,-5.52
5,97579.03125,97487.44531,97479.64844,97485.36719,208,91.59,99.38,93.66,7.8,2.08,-5.72
6,97578.86719,97487.25781,97479.63281,97485.13281,208,91.61,99.23,93.73,7.62,2.12,-5.5
7,97578.82031,97487.41406,97479.42969,97485,207,91.41,99.39,93.82,7.98,2.41,-5.57
8,97578.82031,97487.09375,97479.42969,97485.03906,208,91.73,99.39,93.78,7.66,2.05,-5.61
9,97578.625,97487.14063,97479.30469,97484.80469,208,91.48,99.32,93.82,7.84,2.34,-5.5
10,97578.73438,97487.375,97479.65625,97484.84375,208,91.36,99.08,93.89,7.72,2.53,-5.19
Oct 29 2021 16:09:35,flow rate=1.18,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97902.40625,97726.78125,97715.89844,97483.82813,13,175.62,186.51,418.58,10.88,242.95,232.07
2,97903.8125,97728.01563,97717.20313,97483.85938,203,175.8,186.61,419.95,10.81,244.16,233.34
3,97903.60938,97726.92969,97717.125,97483.85156,208,176.68,186.48,419.76,9.8,243.08,233.27
4,97904.02344,97728.14063,97718.00781,97483.71094,208,175.88,186.02,420.31,10.13,244.43,234.3
5,97903.0625,97728.41406,97717.07813,97483.89063,208,174.65,185.98,419.17,11.34,244.52,233.19
6,97901.71875,97727.75,97719.01563,97484.04688,208,173.97,182.7,417.67,8.73,243.7,234.97
7,97901.59375,97729.19531,97718.125,97484.03906,208,172.4,183.47,417.55,11.07,245.16,234.09
8,97903.70313,97728.53906,97717.75781,97484.03125,208,175.16,185.95,419.67,10.78,244.51,233.73
9,97904.75,97728.17969,97719.55469,97484.02344,208,176.57,185.2,420.73,8.63,244.16,235.53
10,97904.32813,97729.77344,97718.59375,97483.95313,208,174.55,185.73,420.37,11.18,245.82,234.64
mu,324.304687,240,237.164062,-1.59375,206.75,,,,,,
sd,0.724431,0.710336,0.870314,0.068998,2.5,,,,,,
Q,1.199845,0.834027,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 29 2021 16:10:07,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97577.89063,97485.90625,97478.32813,97483.86719,9,91.98,99.56,94.02,7.58,2.04,-5.54
2,97577.97656,97485.9375,97478.03906,97483.64844,188,92.04,99.94,94.33,7.9,2.29,-5.61
3,97578.02344,97485.84375,97478.28125,97483.46094,208,92.18,99.74,94.56,7.56,2.38,-5.18
4,97577.84375,97485.89844,97478.28125,97483.64844,206,91.95,99.56,94.2,7.62,2.25,-5.37
5,97577.8125,97485.95313,97478.34375,97483.85156,207,91.86,99.47,93.96,7.61,2.1,-5.51
6,97577.82813,97486.03906,97478.16406,97483.71094,207,91.79,99.66,94.12,7.87,2.33,-5.55
7,97578.08594,97486.08594,97478.21094,97483.60938,207,92,99.87,94.48,7.87,2.48,-5.4
8,97577.64844,97485.85938,97478.33594,97483.66406,207,91.79,99.31,93.98,7.52,2.2,-5.33
